"300.00000,-0.45037"
"1266.00000,257.18344"
"1268.00000,351.72266"
"1270.00000,445.76447"
"1272.00000,560.45142"
"1274.00000,778.27057"
"1276.00000,1073.29822"
"1278.00000,1360.38501"
"1280.00000,1664.25049"
"1282.00000,1888.98938"
"1284.00000,2005.67078"
"1286.00000,2077.99048"
"1288.00000,2161.56763"
"1290.00000,2203.51880"
"1292.00000,2132.99341"
"1294.00000,1932.08557"
"1296.00000,1632.08289"
"1298.00000,1287.86292"
"1300.00000,1047.47961"
"1302.00000,892.90015"
"1304.00000,757.28546"
"1306.00000,648.15271"
"1308.00000,500.69302"
"1310.00000,393.16681"
"1312.00000,358.81046"
"1314.00000,349.08560"
"1316.00000,356.82288"
"1318.00000,343.45404"
"1320.00000,355.78619"
"1322.00000,380.36002"
"1324.00000,370.77344"
"1326.00000,574.68634"
"1328.00000,766.21252"
"1330.00000,947.21552"
"1332.00000,1305.68005"
"1334.00000,1654.68994"
"1336.00000,2043.30383"
"1338.00000,2256.76416"
"1340.00000,2166.11768"
"1342.00000,1970.35449"
"1344.00000,1700.06653"
"1346.00000,1375.71643"
"1348.00000,1092.08118"
"1350.00000,906.60773"
"1352.00000,736.87378"
"1354.00000,636.85632"
"1356.00000,594.67847"
"1358.00000,577.31409"
"1360.00000,577.17645"
"1362.00000,524.20428"
"1364.00000,473.37674"
"1366.00000,424.12366"
"1368.00000,354.46759"
"1370.00000,340.07031"
"1372.00000,307.94348"
"1374.00000,237.75099"
"1376.00000,186.14716"
"1378.00000,189.57356"
"1380.00000,178.82892"
"1382.00000,165.45221"
"1384.00000,164.22868"
"1386.00000,176.97267"
"1388.00000,233.04204"
"1390.00000,331.49921"
"1392.00000,311.41614"
"1394.00000,262.02081"
"1396.00000,383.08029"
"1398.00000,251.41963"
"1400.00000,203.01572"
"1402.00000,248.93671"
"1404.00000,164.96628"
"1406.00000,171.24112"
"1408.00000,164.98412"
"1410.00000,134.51884"
"1412.00000,132.77979"
"1414.00000,142.87126"
"1416.00000,112.83914"
"1418.00000,120.42968"
"1420.00000,122.72858"
"1422.00000,100.36102"
"1424.00000,190.70714"
"1426.00000,150.27332"
"1428.00000,99.14388"
"1430.00000,149.70316"
"1432.00000,157.19461"
"1434.00000,108.63354"
"1436.00000,150.60118"
"1438.00000,228.24809"
"1440.00000,230.45940"
"1442.00000,254.62584"
"1444.00000,311.57874"
"1446.00000,360.39844"
"1448.00000,344.99850"
"1450.00000,267.65790"
"1452.00000,240.86201"
"1454.00000,216.51529"
"1456.00000,178.75731"
"1458.00000,159.31609"
"1460.00000,148.91849"
"1462.00000,137.42542"
"1464.00000,112.88707"
"1466.00000,92.17502"
"1468.00000,103.91605"
"1470.00000,122.02766"
"1472.00000,95.20892"
"1474.00000,99.60056"
"1476.00000,144.55510"
"1478.00000,74.09875"
"1480.00000,38.53040"
"1482.00000,103.90029"
"1484.00000,142.46407"
"1486.00000,58.50341"
"1488.00000,48.57298"
"1490.00000,54.66772"
"1492.00000,45.43528"
"1494.00000,60.29709"
"1496.00000,108.54656"
"1498.00000,203.01909"
"1500.00000,306.30002"
"1502.00000,371.12997"
"1504.00000,399.51520"
"1506.00000,438.22784"
"1508.00000,413.27167"
"1510.00000,416.61127"
"1512.00000,520.40881"
"1514.00000,607.12891"
"1516.00000,741.86633"
"1518.00000,968.24475"
"1520.00000,1244.17261"
"1522.00000,1549.47693"
"1524.00000,1993.86414"
"1526.00000,2523.47485"
"1528.00000,3131.38770"
"1530.00000,3903.59644"
"1532.00000,4899.27783"
"1534.00000,5982.46777"
"1536.00000,6848.85889"
"1538.00000,7053.80078"
"1540.00000,6393.58984"
"1542.00000,5321.22607"
"1544.00000,4260.31543"
"1546.00000,3416.06982"
"1548.00000,2869.63770"
"1550.00000,2577.86304"
"1552.00000,2193.01929"
"1554.00000,1909.26855"
"1556.00000,1790.65173"
"1558.00000,1620.92883"
"1560.00000,1423.52832"
"1562.00000,1284.13000"
"1564.00000,1180.41284"
"1566.00000,1076.33643"
"1568.00000,1000.11389"
"1570.00000,913.88019"
"1572.00000,800.12646"
"1574.00000,690.86713"
"1576.00000,638.43573"
"1578.00000,636.86389"
"1580.00000,544.53168"
"1582.00000,446.95987"
"1584.00000,419.62198"
"1586.00000,348.24799"
"1588.00000,271.52463"
"1590.00000,250.86087"
"1592.00000,272.07620"
"1594.00000,255.49323"
"1596.00000,179.03955"
"1598.00000,232.27884"
"1600.00000,240.05185"
"1602.00000,130.48605"
"1604.00000,149.33578"
"1606.00000,119.48315"
"1608.00000,91.68752"
"1610.00000,100.60366"
"1612.00000,79.18172"
"1614.00000,40.31743"
"1616.00000,76.81435"
"1618.00000,84.55122"
"1620.00000,34.51866"
"1622.00000,70.83968"
"1624.00000,97.35085"
"1626.00000,71.30856"
"1628.00000,55.53589"
"1630.00000,86.50817"
"1632.00000,77.41160"
"1634.00000,56.06266"
"1636.00000,65.49546"
"1638.00000,91.27596"
"1640.00000,81.15102"
"1642.00000,52.57174"
"1644.00000,129.09651"
"1646.00000,189.60341"
"1648.00000,105.19498"
"1650.00000,98.20845"
"1652.00000,138.26309"
"1654.00000,100.41531"
"1656.00000,34.16533"
"1658.00000,83.40944"
"1660.00000,87.52399"
"1662.00000,65.54102"
"1664.00000,87.91341"
"1666.00000,117.95121"
"1668.00000,62.40819"
"1670.00000,79.40647"
"1672.00000,86.63108"
"1674.00000,30.70292"
"1676.00000,44.10276"
"1678.00000,108.87718"
"1680.00000,121.55054"
"1682.00000,84.44640"
"1684.00000,73.93977"
"1686.00000,98.10725"
"1688.00000,104.75978"
"1690.00000,83.74474"
"1692.00000,79.63322"
"1694.00000,110.55965"
"1696.00000,94.79497"
"1698.00000,123.11414"
"1700.00000,128.63925"
"1702.00000,73.58595"
"1704.00000,139.80930"
"1706.00000,101.08714"
"1708.00000,95.68639"
"1710.00000,158.66129"
"1712.00000,94.03558"
"1714.00000,79.42010"
"1716.00000,126.81684"
"1718.00000,111.86466"
"1720.00000,36.20448"
"1722.00000,76.45077"
"1724.00000,90.21750"
"1726.00000,78.17793"
"1728.00000,66.74052"
"1730.00000,35.13051"
"1732.00000,60.53988"
"1734.00000,95.05007"
"1736.00000,103.92051"
"1738.00000,111.85954"
"1740.00000,128.81897"
"1742.00000,74.94140"
"1744.00000,91.61447"
"1746.00000,160.41539"
"1748.00000,121.68898"
"1750.00000,136.62549"
"1752.00000,139.81590"
"1754.00000,172.86003"
"1756.00000,247.56520"
"1758.00000,195.87344"
"1760.00000,144.06133"
"1762.00000,166.98059"
"1764.00000,169.27411"
"1766.00000,88.50394"
"1768.00000,119.54133"
"1770.00000,126.08150"
"1772.00000,90.63857"
"1774.00000,101.50498"
"1776.00000,135.93855"
"1778.00000,136.09572"
"1780.00000,69.10250"
"1782.00000,86.23286"
"1784.00000,227.59854"
"1786.00000,92.07841"
"1788.00000,56.66245"
"1790.00000,131.73563"
"1792.00000,130.46893"
"1794.00000,156.75989"
"1796.00000,122.04673"
"1798.00000,141.64694"
"1800.00000,172.88733"
"1802.00000,109.17747"
"1804.00000,175.17017"
"1806.00000,116.34639"
"1808.00000,85.51638"
"1810.00000,193.60478"
"1812.00000,129.03851"
"1814.00000,118.76687"
"1816.00000,110.62302"
"1818.00000,95.97209"
"1820.00000,150.18222"
"1822.00000,120.88137"
"1824.00000,77.86546"
"1826.00000,135.76608"
"1828.00000,198.11832"
"1830.00000,95.24911"
"1832.00000,143.33115"
"1834.00000,134.59906"
"1836.00000,54.10906"
"1838.00000,108.51855"
"1840.00000,108.15861"
"1842.00000,94.03840"
"1844.00000,140.61052"
"1846.00000,167.95547"
"1848.00000,84.44289"
"1850.00000,162.56937"
"1852.00000,155.37025"
"1854.00000,72.40733"
"1856.00000,133.33282"
"1858.00000,114.02026"
"1860.00000,90.31630"
"1862.00000,115.88268"
"1864.00000,119.68087"
"1866.00000,63.50508"
"1868.00000,123.56284"
"1870.00000,158.97777"
"1872.00000,109.41199"
"1874.00000,132.35789"
"1876.00000,286.34924"
"1878.00000,208.53670"
"1880.00000,147.77116"
"1882.00000,266.30865"
"1884.00000,223.26146"
"1886.00000,169.59535"
"1888.00000,187.83795"
"1890.00000,186.17165"
"1892.00000,135.64027"
"1894.00000,204.77280"
"1896.00000,214.27310"
"1898.00000,185.75290"
"1900.00000,181.72612"
"1902.00000,148.99709"
"1904.00000,175.86482"
"1906.00000,225.94664"
"1908.00000,221.41609"
"1910.00000,182.14726"
"1912.00000,207.99295"
"1914.00000,164.70712"
"1916.00000,134.80838"
"1918.00000,140.85350"
"1920.00000,73.25944"
"1922.00000,137.54117"
"1924.00000,211.01306"
"1926.00000,188.31546"
"1928.00000,137.35742"
"1930.00000,152.57437"
"1932.00000,205.35912"
"1934.00000,171.31926"
"1936.00000,111.74371"
"1938.00000,180.83131"
"1940.00000,152.23036"
"1942.00000,107.78527"
"1944.00000,155.33615"
"1946.00000,215.74666"
"1948.00000,144.65565"
"1950.00000,116.95766"
"1952.00000,128.83020"
"1954.00000,149.03291"
"1956.00000,193.24908"
"1958.00000,118.00143"
"1960.00000,119.96827"
"1962.00000,161.44695"
"1964.00000,113.01196"
"1966.00000,124.50072"
"1968.00000,134.73857"
"1970.00000,135.04718"
"1972.00000,164.94592"
"1974.00000,193.79160"
"1976.00000,108.80567"
"1978.00000,83.54272"
"1980.00000,116.79597"
"1982.00000,96.46341"
"1984.00000,85.41393"
"1986.00000,122.73721"
"1988.00000,112.51567"
"1990.00000,60.84882"
"1992.00000,74.76816"
"1994.00000,79.16614"
"1996.00000,90.07599"
"1998.00000,108.53871"
"2000.00000,23.22438"
"2002.00000,35.98680"
"2004.00000,41.71940"
"2006.00000,34.93481"
"2008.00000,26.16690"
"2010.00000,33.55896"
"2012.00000,31.81594"
"2014.00000,44.14039"
"2016.00000,95.09895"
"2018.00000,89.84608"
"2020.00000,95.86108"
"2022.00000,127.82351"
"2024.00000,130.10333"
"2026.00000,96.25630"
"2028.00000,103.93715"
"2030.00000,119.62823"
"2032.00000,105.35945"
"2034.00000,87.61190"
"2036.00000,65.89240"
"2038.00000,47.97915"
"2040.00000,48.57050"
"2042.00000,58.68199"
"2044.00000,42.47219"
"2046.00000,35.49180"
"2048.00000,37.32608"
"2050.00000,41.78910"
"2052.00000,60.24007"
"2054.00000,57.22515"
"2056.00000,66.03101"
"2058.00000,75.49107"
"2060.00000,49.58075"
"2062.00000,45.62646"
"2064.00000,72.49745"
"2066.00000,87.47227"
"2068.00000,73.18620"
"2070.00000,72.74872"
"2072.00000,89.39299"
"2074.00000,85.41483"
"2076.00000,72.00738"
"2078.00000,90.46054"
"2080.00000,96.24258"
"2082.00000,81.39936"
"2084.00000,58.26698"
"2086.00000,46.15041"
"2088.00000,66.49614"
"2090.00000,109.70441"
"2092.00000,100.89805"
